Location,Treetype,dead_wood,forest_structure,herbal_layer,woody_layer,SCI
B2,B,0.00,0.00,0.33,0.40,0.18
B3,B,0.00,0.25,0.33,0.20,0.20
B4,B,0.40,0.25,0.00,0.60,0.31
B5,B,0.60,0.50,0.33,0.80,0.56
B6,B,0.00,0.25,0.33,0.60,0.30
B8,B,0.60,0.25,0.00,0.60,0.36
B9,B,0.00,0.50,1.00,0.60,0.53
O3,O,0.60,0.75,0.00,0.20,0.39
O4,O,0.20,0.50,0.33,0.60,0.41
O5,O,0.60,0.00,0.00,0.40,0.25
O6,O,0.00,0.50,0.00,0.40,0.23
O7,O,0.20,0.75,0.33,0.60,0.47
P1,P,0.00,0.50,0.67,0.60,0.44
P2,P,0.40,0.75,1.00,0.60,0.69
P3,P,0.60,0.75,1.00,0.20,0.64
P5,P,0.40,0.75,0.67,0.40,0.55
P6,P,0.40,0.25,0.33,0.40,0.35
P7,P,0.20,0.50,0.33,0.00,0.26
P8,P,0.20,0.50,1.00,0.20,0.48
